cod_vehiculo,cod_vehiculo_estado,anio_fabricacion,fecha_ultimo_mantenimiento,fecha_ultimo_viaje,capacidad_carga,cod_vehiculo_marca,cod_vehiculo_tipo,placa,cod_vehiculo_modelo
1,C,2016,6/03/2024,29/12/2022,1035,16,C,XO6-429,F
2,C,2005,27/11/2023,24/03/2023,1696,7,P,OUT-344,C
3,C,2015,3/01/2024,7/06/2022,1064,11,R,5XI-659,D
4,N,2017,7/12/2022,3/02/2023,963,6,R,3BP-712,E
5,N,2020,14/11/2022,27/10/2023,1857,18,C,AJ9-795,E
6,C,2009,26/11/2023,12/12/2022,1939,7,C,2NX-117,S
7,D,2008,3/10/2022,16/06/2022,707,13,R,90Q-603,F
8,D,2005,13/10/2022,8/02/2024,1913,15,R,89J-624,D
9,N,2015,8/10/2022,12/12/2022,1857,19,R,BE1-282,S
10,D,2013,4/11/2022,3/07/2023,1721,10,R,HIJ-790,C
11,D,2017,8/06/2022,5/10/2023,971,6,R,TU2-213,F
12,D,2005,15/10/2022,8/08/2022,624,2,C,K5J-596,F
13,D,2008,22/05/2023,15/12/2023,1162,2,R,ZHS-379,C
14,D,2011,27/09/2022,9/06/2023,1669,3,R,1JW-591,D
15,C,2013,6/08/2022,10/04/2023,1406,18,C,F9L-544,E
16,D,2018,19/06/2024,31/05/2023,1203,6,C,7VK-309,E
17,C,2011,9/12/2022,12/05/2022,620,6,R,136-835,S
18,D,2013,3/05/2022,24/05/2023,538,15,C,PA2-603,F
19,N,2016,3/07/2022,4/08/2023,1476,17,C,RS9-342,D
20,C,2014,4/05/2022,14/04/2022,1400,19,C,OUJ-167,S
21,D,2013,1/02/2023,11/05/2022,1752,19,R,5ST-247,C
22,C,2017,13/07/2022,11/06/2023,1808,17,C,Q4R-663,F
23,D,2018,29/04/2024,30/06/2023,731,4,R,3GY-638,F
24,D,2020,18/12/2023,25/05/2023,701,16,C,51T-383,C
25,D,2011,4/07/2023,2/04/2024,1316,18,R,7T2-282,D
26,C,2015,25/05/2023,29/06/2022,1338,16,R,N1Y-499,E
27,D,2010,9/03/2023,12/12/2022,788,15,R,H6S-096,E
28,D,2009,20/08/2023,18/10/2023,1558,16,R,AFY-545,S
29,D,2017,24/05/2022,7/10/2023,1680,16,P,C6R-547,F
30,C,1998,16/02/2023,20/05/2024,1581,18,R,53A-820,D
31,C,2009,23/11/2023,16/01/2023,624,5,C,ZTN-102,S
32,N,2011,1/06/2024,8/06/2023,1578,8,R,E9M-862,C
33,N,2011,27/12/2023,18/08/2023,1857,14,C,MD3-036,F
34,D,2018,10/04/2022,24/06/2023,1173,4,C,5LS-614,F
35,N,2015,4/12/2022,8/03/2022,1883,6,C,LR5-094,C
36,D,2014,7/07/2022,10/09/2023,1076,5,C,4PU-081,D
37,D,2014,8/03/2024,24/12/2023,1814,6,C,LXN-224,E
38,D,2001,23/01/2022,3/12/2022,1736,11,C,5XU-445,E
39,C,2016,9/07/2022,18/07/2023,630,5,R,36C-437,S
40,N,2010,9/08/2022,22/05/2024,1147,17,R,1FJ-671,F
41,C,2015,8/01/2022,26/06/2023,1995,2,C,EZE-013,D
42,D,2014,21/07/2023,21/05/2024,1635,2,P,U1M-681,S
43,C,2015,18/05/2022,30/03/2024,566,13,R,HTM-673,C
44,D,2016,3/09/2023,23/09/2022,669,1,C,JK3-904,F
45,D,2010,9/02/2023,7/03/2022,1378,10,C,OB6-148,F
46,D,2016,10/09/2022,25/05/2022,1202,14,C,Z05-887,C
47,D,2020,29/03/2022,2/03/2024,1385,19,R,XC6-374,D
48,D,2014,10/01/2023,3/05/2022,1623,11,C,WIN-276,E
49,C,2015,17/01/2023,14/01/2023,1878,1,R,ZYZ-477,E
50,D,2009,6/12/2022,19/06/2022,1417,9,R,1KV-512,S
51,C,2020,5/01/2023,20/06/2024,816,11,R,VD5-140,F
52,C,2009,9/05/2023,24/01/2024,683,9,C,7L0-719,D
53,D,2011,29/02/2024,18/03/2024,544,19,C,LUB-524,S
54,D,2016,2/04/2022,22/09/2022,1303,13,R,QD0-392,C
55,D,2011,30/11/2023,26/08/2023,1837,13,C,OE1-065,F
56,C,2012,30/07/2022,15/07/2023,1514,12,R,RGP-409,F
57,N,2005,15/12/2023,31/01/2024,864,18,R,VPI-477,C
58,D,2004,28/03/2023,18/02/2022,1367,9,R,K50-341,D
59,D,2011,21/06/2022,10/12/2022,1032,15,C,LAW-710,E
60,D,2012,11/05/2024,5/08/2023,1533,5,P,Z1Q-337,E
61,D,2010,9/03/2024,13/02/2022,504,10,R,I9B-187,S
62,C,2013,2/06/2024,24/12/2022,1564,18,C,5XN-413,F
63,C,2020,3/03/2022,6/02/2024,1679,6,R,5LY-656,D
64,D,2012,4/06/2023,27/04/2022,1827,2,C,YI8-991,S
65,D,2006,15/03/2023,26/03/2023,1828,15,R,TJC-974,C
66,D,2012,29/04/2024,12/06/2022,1639,2,C,6X7-857,F
67,C,2002,6/02/2023,15/10/2022,1398,5,R,DZK-074,F
68,D,2013,28/06/2023,22/05/2022,518,18,P,NSS-177,C
69,D,2008,25/11/2023,11/02/2024,1867,1,P,LSV-926,D
70,D,2009,9/12/2023,15/09/2023,1184,18,P,GAR-233,E
71,N,2020,31/12/2022,7/03/2022,1498,10,C,7WM-510,E
72,D,2016,8/07/2023,8/06/2023,1105,12,R,9QA-486,S
73,C,2020,21/11/2022,23/12/2022,762,11,R,HNQ-504,F
74,D,2010,5/03/2024,9/07/2023,600,14,R,7YI-556,D
75,C,2013,7/05/2024,1/10/2023,1030,3,R,4DT-414,S
76,N,2013,13/09/2023,15/02/2024,1424,3,R,Y55-169,C
77,N,2012,9/03/2022,8/07/2022,1757,11,C,F5B-547,F
78,D,2005,22/03/2023,18/03/2022,1271,4,R,AMX-681,F
79,D,2013,20/01/2023,1/09/2022,1387,10,C,5K3-370,C
80,C,2003,26/12/2023,11/12/2022,526,5,R,JA2-247,D
81,N,2018,6/10/2022,8/07/2023,1979,4,C,0V4-024,E
82,D,2014,1/09/2023,15/07/2023,1572,11,C,CMS-378,E
83,C,2014,5/03/2024,24/05/2023,727,6,R,TJZ-164,S
84,D,2015,23/02/2024,14/12/2022,1006,7,R,ZFC-921,F
85,D,2003,27/11/2023,16/07/2022,1089,5,R,E9O-674,D
86,D,2013,1/11/2023,29/07/2023,1942,20,R,CFI-970,S
87,D,2013,12/09/2022,13/01/2024,1098,9,C,AI2-064,C
88,D,2007,3/01/2024,1/04/2024,968,6,R,01U-574,F
89,D,2012,3/12/2022,25/06/2022,1662,15,C,5KH-021,F
90,C,2014,13/02/2023,17/02/2022,1138,9,P,NKO-041,C
91,D,2014,27/12/2022,15/02/2023,1043,16,C,3ZT-869,D
92,N,2018,19/07/2023,14/12/2022,1382,11,C,HFG-078,E
93,D,2016,1/07/2022,2/10/2022,1162,7,C,9PV-604,E
94,D,2015,24/02/2024,19/07/2023,941,16,C,OQP-424,S
95,D,2011,22/02/2022,6/03/2024,1840,15,R,U52-654,F
96,D,2014,27/07/2022,23/11/2022,1327,5,R,AQB-774,D
97,C,2016,18/10/2023,31/08/2023,1616,7,R,5QX-160,S
98,C,2007,31/12/2022,15/12/2022,1233,1,C,NPP-744,C
99,D,2014,25/08/2023,7/05/2022,781,20,C,YKE-717,F
100,N,2012,26/05/2024,25/12/2023,1135,7,R,PVS-397,F
101,D,2004,25/05/2023,1/10/2022,1370,17,C,4BX-677,C
102,D,2016,15/10/2022,23/10/2023,1039,5,R,0EQ-409,D
103,C,2014,25/02/2022,14/11/2022,503,12,C,LGB-530,E
104,D,2007,15/11/2023,24/04/2022,872,14,P,142-206,E
105,D,2021,16/06/2024,25/11/2023,1184,13,C,6F2-186,S
106,D,2013,7/09/2023,13/03/2024,848,5,C,32Z-644,F
107,D,2010,26/06/2022,29/10/2023,1579,6,R,GX6-590,D
108,D,2013,16/09/2023,15/05/2024,1626,15,R,STV-711,S
109,C,2020,15/08/2023,13/08/2023,815,17,C,DE3-018,C
110,D,2005,14/05/2024,21/01/2024,1668,12,C,8XX-700,F
111,C,2014,6/01/2024,17/10/2022,907,8,R,3MG-527,F
112,D,2011,31/01/2023,15/10/2023,1113,20,R,3AJ-431,C
113,C,2007,1/06/2022,24/03/2024,1823,9,C,PQQ-029,D
114,D,2000,6/12/2023,18/02/2022,1079,15,C,8RF-396,E
115,N,2021,11/07/2022,21/04/2024,1941,12,R,4MU-197,E
116,D,2017,19/01/2023,21/10/2023,1250,18,P,4TW-902,S
117,C,2009,2/11/2022,15/03/2022,1512,13,C,VF5-986,F
118,D,2015,12/12/2022,19/06/2024,1887,11,C,PJ9-342,D
119,N,0,10/05/2022,23/05/2024,1409,12,C,GJ9-643,S
120,D,2009,1/01/2022,9/08/2023,853,4,C,WFT-918,C
121,C,2008,22/03/2022,23/05/2024,1227,10,C,93C-782,F
122,C,2009,28/11/2023,24/11/2022,548,7,P,TWR-652,F
123,D,2017,5/03/2024,24/01/2023,752,1,R,ZO6-348,C
124,D,2013,9/05/2022,8/04/2023,1034,11,C,K7B-869,D
125,D,1998,17/12/2023,9/03/2023,1001,12,C,S9E-898,E
126,D,2009,14/06/2024,9/12/2023,1369,4,C,4SO-451,E
127,D,2016,2/05/2024,11/03/2022,1617,8,R,X0O-452,S
128,C,2019,19/07/2023,28/01/2023,1042,15,R,EBZ-135,F
129,C,2012,19/04/2022,24/04/2024,1557,4,C,HLO-492,D
130,D,2015,10/08/2023,6/12/2023,1221,7,R,URI-708,S
131,C,2014,6/11/2022,10/07/2023,1224,4,R,ZIJ-191,C
132,C,2019,8/02/2022,17/04/2022,832,9,C,JBM-782,F
133,D,2012,19/05/2022,11/01/2023,897,17,R,2XJ-210,F
134,N,2012,14/02/2022,16/07/2023,1785,16,R,ATD-352,C
135,C,2014,30/10/2023,11/06/2024,840,11,C,GD9-053,D
136,D,2020,25/11/2023,8/08/2023,666,6,R,LOQ-471,E
137,C,2004,28/04/2023,29/02/2024,1744,13,R,LVC-387,E
138,D,2010,4/03/2024,29/12/2022,1697,8,C,5KV-577,S
139,D,2020,27/05/2022,4/10/2023,1110,6,C,DES-479,F
140,C,2019,20/01/2022,30/07/2023,1060,6,C,W0D-538,D
141,N,2008,14/02/2022,2/05/2022,1985,2,R,2J2-004,S
142,D,2003,6/04/2022,27/01/2024,1967,5,P,5N4-338,C
143,D,2011,28/08/2022,7/05/2024,1066,18,C,1MB-553,F
144,D,2014,5/05/2023,27/08/2023,1632,18,C,17F-884,F
145,D,2012,6/01/2022,26/09/2022,605,11,R,G2I-064,C
146,D,2016,4/09/2023,21/08/2023,1934,12,C,C12-271,D
147,C,2014,31/08/2022,11/11/2022,1319,8,R,4Y5-835,E
148,D,2019,17/01/2024,29/07/2023,1075,13,C,M6Z-856,E
149,C,2015,14/09/2022,5/03/2024,1323,3,P,978-006,S
150,D,2014,9/10/2022,12/03/2024,1860,3,C,IDN-284,F
151,D,2014,7/10/2023,17/03/2023,1945,16,C,4IQ-400,D
152,D,2004,25/06/2022,9/06/2024,1278,2,R,2C9-498,S
153,D,2012,21/10/2022,5/01/2024,851,5,C,JKB-242,C
154,C,2003,26/11/2023,21/06/2023,1625,13,R,ULH-401,F
155,D,2020,4/08/2023,7/09/2023,1566,2,R,AMJ-855,F
156,D,2007,30/08/2022,21/04/2022,1147,19,C,U89-079,C
157,D,2004,27/04/2024,24/07/2023,1797,14,C,RIE-832,D
158,C,2008,2/12/2022,19/06/2023,1377,10,R,CZB-981,E
159,D,2008,17/03/2024,18/01/2024,1766,1,C,H7J-327,E
160,D,2000,21/11/2023,12/09/2023,991,18,C,QWT-087,S
161,D,2014,22/02/2023,10/06/2023,1768,17,R,NZD-951,F
162,C,2020,10/03/2023,21/02/2024,1335,4,C,P3S-395,D
163,D,2011,15/02/2022,1/02/2023,1149,19,C,F6R-550,S
164,D,2007,9/02/2022,19/06/2023,637,6,C,89Q-550,C
165,N,2017,15/08/2022,13/10/2023,891,14,R,9I8-127,F
166,D,2014,12/09/2022,31/05/2022,1144,14,R,I56-466,F
167,C,2007,25/11/2022,26/06/2023,652,8,R,YEC-736,C
168,C,2011,21/06/2024,11/03/2022,597,14,R,UD8-251,D
169,D,2009,12/12/2022,24/02/2022,1340,17,C,L9U-940,E
170,D,2015,14/03/2024,7/11/2022,934,11,C,9DO-318,E
171,D,2014,10/10/2023,18/04/2022,1487,1,C,SQ7-758,S
172,D,2019,31/10/2023,25/03/2022,766,14,R,YWJ-582,F
173,D,2014,15/04/2023,8/04/2024,1822,8,R,SE4-227,D
174,D,2006,27/03/2022,4/09/2022,1884,6,R,3H3-452,S
175,D,2019,29/01/2024,29/06/2022,727,14,R,SSC-971,C
176,D,2013,21/07/2022,17/09/2023,1829,13,R,RN7-796,F
177,D,2011,15/10/2023,19/05/2023,1778,13,C,64S-384,F
178,D,2017,18/02/2024,26/11/2023,1650,8,R,IS8-666,C
179,C,2014,22/03/2022,16/02/2024,1960,15,C,FM0-813,D
180,D,2019,27/05/2024,14/07/2023,1282,16,R,2JL-512,E
181,D,2015,6/11/2022,8/05/2022,808,6,R,SCM-950,E
182,D,2012,1/02/2023,1/02/2023,1040,8,C,BYU-444,S
183,D,2006,12/09/2023,14/06/2022,1752,7,C,CQF-650,F
184,C,2015,18/02/2023,4/04/2024,614,7,R,0QY-553,D
185,D,2021,17/12/2022,9/03/2023,1547,2,R,NOF-344,S
186,D,2014,4/01/2022,31/03/2024,962,17,C,VZJ-844,C
187,D,2015,28/01/2024,1/06/2022,672,20,C,U1C-017,F
188,D,2010,17/10/2022,29/05/2023,1335,17,C,PJ6-097,F
189,C,2011,29/10/2022,30/04/2023,1132,19,C,A9I-133,C
190,D,2017,24/09/2023,22/10/2023,581,6,C,R7F-264,D
191,D,2014,5/08/2022,18/11/2022,1034,10,C,NND-956,E
192,D,2020,2/05/2024,12/09/2022,1801,16,P,WFP-489,E
193,C,2018,5/10/2022,4/08/2023,1747,20,R,DQ2-469,S
194,D,1995,21/08/2022,10/11/2022,1894,6,C,Y6W-537,F
195,D,2019,9/03/2024,15/05/2024,601,20,R,IKK-069,D
196,D,2013,13/03/2024,1/02/2024,887,5,R,N5S-019,S
197,N,2015,30/01/2022,31/05/2023,566,9,C,BGE-064,C
198,D,2005,3/04/2022,4/12/2023,1975,13,P,O87-171,F
199,D,2009,26/03/2023,20/09/2023,1558,19,R,87T-387,F
200,C,2002,4/07/2023,17/06/2023,1373,11,R,O60-209,C
201,D,2017,6/08/2023,25/04/2023,1475,14,C,MHD-498,D
202,D,2004,19/07/2023,28/03/2022,535,2,C,5R5-345,E
203,N,2011,7/12/2023,16/08/2023,1193,18,R,SI6-402,E
204,D,2007,29/01/2023,2/11/2022,946,2,R,NZ7-408,S
205,D,2020,24/08/2023,6/04/2022,1120,6,R,A1Q-157,F
206,D,2019,13/11/2022,23/05/2022,1281,15,P,O94-766,D
207,C,2017,1/12/2023,8/06/2024,1472,16,R,RFO-981,S
208,D,2016,25/08/2023,20/12/2023,546,6,C,009-469,C
209,D,2012,12/01/2023,2/08/2022,975,13,R,CUC-560,F
210,D,2014,15/09/2022,3/09/2023,1446,3,R,H2A-901,F
211,C,2015,9/04/2022,3/06/2022,1789,12,C,UFS-519,C
212,D,2018,1/05/2024,11/04/2023,1693,6,C,H0S-472,D
213,D,2008,19/03/2023,20/10/2023,946,9,R,DDQ-720,E
214,D,2018,26/01/2024,24/12/2023,1053,8,C,QME-483,E
215,D,2018,1/01/2023,23/01/2024,1936,17,C,ZIQ-723,S
216,C,2013,26/11/2022,8/10/2023,1435,7,C,R9K-179,F
217,C,2012,9/09/2023,27/04/2023,528,18,R,LBD-627,D
218,D,2005,10/04/2022,24/07/2022,1431,15,R,8M1-920,S
219,D,2016,3/08/2023,30/10/2022,828,7,C,UKG-299,C
220,D,2013,1/11/2023,30/10/2023,745,3,C,84X-052,F
221,D,2018,4/08/2023,1/10/2022,1985,16,P,VX9-848,F
222,D,2019,5/03/2023,25/04/2022,727,13,R,XW2-346,C
223,D,2011,14/10/2023,10/02/2022,949,20,C,9A8-576,D
224,D,2014,27/01/2023,18/10/2023,1191,18,C,Q94-344,E
225,C,2004,1/07/2022,7/07/2023,1312,10,C,YA1-141,E
226,C,2011,7/04/2024,24/06/2022,1927,10,C,6F2-187,S
227,D,2012,22/05/2024,13/08/2023,1723,18,P,270-453,F
228,D,2018,31/08/2023,5/08/2023,914,14,R,4OI-165,D
229,D,2006,23/05/2022,21/05/2024,1575,6,R,D0X-102,S
230,C,2015,2/06/2023,29/09/2022,1865,20,P,9QJ-179,C
231,D,2010,7/12/2023,9/04/2022,1471,13,R,0WY-301,F
232,N,2002,13/03/2023,21/09/2023,694,6,R,L19-039,F
233,D,2015,26/11/2022,26/07/2023,1592,4,C,5P8-581,C
234,C,2000,31/05/2022,4/04/2023,1100,13,R,AGE-160,D
235,D,2015,10/01/2024,10/11/2022,1415,16,P,QIK-516,E
236,N,2007,6/05/2022,9/07/2023,762,5,C,O7B-107,E
237,D,2003,4/05/2023,23/05/2024,1397,6,R,LXZ-326,S
238,D,0,10/05/2024,21/12/2023,1846,5,C,1MX-636,F
239,C,2008,3/02/2023,29/05/2023,1711,2,C,UTV-000,D
240,C,2013,8/10/2023,3/03/2023,1540,4,R,KBI-542,S
241,D,2013,8/02/2022,28/11/2023,1690,18,P,3ZE-867,C
242,C,2016,9/03/2023,16/06/2023,975,10,R,O9Y-740,F
243,D,2013,3/02/2024,10/06/2023,794,1,R,IJF-464,F
244,C,2011,16/06/2023,9/09/2022,635,10,C,DF5-496,C
245,D,2011,13/10/2022,2/05/2024,1867,1,R,S0A-885,D
246,D,0,15/08/2022,7/06/2022,1913,8,C,034-695,E
247,N,2002,28/09/2023,14/10/2023,1126,10,C,6PT-596,E
248,C,2014,15/04/2024,5/04/2024,1343,7,R,8D7-586,S
249,D,2020,21/07/2023,15/05/2023,1403,13,C,TH6-171,F
250,D,2016,12/09/2023,23/01/2023,1008,1,R,PS6-637,D
251,D,2014,2/10/2022,18/05/2024,1640,14,C,Y82-796,S
252,N,2014,5/08/2022,27/12/2022,1075,7,C,0NZ-123,C
253,N,2014,3/03/2024,9/03/2024,1610,10,C,QZM-113,F
254,D,2003,2/11/2023,11/02/2023,1335,8,C,YNQ-010,F
255,D,2015,10/12/2022,7/05/2023,1966,14,R,1L0-070,C
256,D,2009,26/06/2022,24/05/2022,1405,11,C,0UF-147,D
257,C,2018,6/06/2024,8/03/2022,1563,11,C,ITU-687,E
258,D,2011,8/01/2023,13/10/2022,1063,20,C,3PH-114,E
259,C,2018,25/02/2024,22/06/2023,610,12,R,9EY-310,S
260,D,2011,3/02/2024,17/04/2023,1648,19,R,QE3-207,F
261,N,2011,14/07/2022,6/12/2022,1966,1,R,SXR-376,D
262,C,2011,8/03/2024,27/10/2023,686,4,R,YW8-311,S
263,D,2014,21/02/2024,11/04/2023,1463,3,C,OMJ-270,C
264,C,2015,29/10/2022,3/10/2023,1014,19,R,ARH-383,F
265,C,2004,29/01/2022,30/12/2023,791,13,C,B20-843,F
266,C,2003,4/02/2022,21/07/2023,1518,18,C,X7K-258,C
267,N,2013,30/12/2022,8/12/2023,853,6,R,IMK-095,D
268,D,2016,8/07/2022,13/03/2022,792,20,C,0GN-726,E
269,D,2009,29/03/2023,25/01/2023,1471,1,R,ATA-404,E
270,C,2018,1/05/2024,6/09/2022,1742,1,R,KC4-408,S
271,D,2018,26/09/2022,14/03/2024,881,10,R,G7M-293,F
272,D,2014,18/04/2024,1/02/2024,792,13,C,G9G-852,D
273,D,2015,29/08/2022,10/01/2023,1880,4,R,I7T-908,S
274,D,2008,2/09/2023,19/03/2024,1728,17,C,I0W-720,C
275,N,2011,8/10/2022,19/10/2023,1805,7,R,LVK-852,F
276,D,2013,26/05/2022,9/11/2023,1251,1,R,72R-872,F
277,D,2020,2/06/2022,8/03/2022,1665,20,R,0IO-746,C
278,D,2008,3/02/2023,8/05/2022,657,14,R,A16-631,D
279,C,2005,20/05/2023,16/08/2023,1217,16,C,2TF-299,E
280,C,2015,7/08/2023,17/09/2023,804,11,R,ZCB-816,E
281,D,2015,8/01/2024,21/12/2023,735,6,R,YET-898,S
282,D,2012,2/01/2022,25/01/2024,1946,11,R,SFH-820,F
283,D,2011,1/08/2023,8/04/2022,1181,18,R,W7C-786,D
284,D,2013,4/12/2023,23/09/2022,840,17,R,UDN-139,S
285,D,2014,4/05/2024,28/09/2023,506,11,R,HLE-731,C
286,C,2004,22/08/2022,28/09/2022,1680,20,R,A81-099,F
287,D,2002,22/08/2023,3/04/2022,1077,10,C,R31-873,F
288,D,2015,30/10/2023,21/07/2022,1940,19,R,JCM-813,C
289,D,2020,17/04/2023,21/12/2023,585,8,C,N1W-864,D
290,N,2014,3/05/2022,29/10/2023,820,9,R,8GB-810,E
291,D,2003,15/02/2024,30/06/2022,698,8,C,3VE-074,E
292,D,2014,8/01/2024,2/11/2022,1230,11,C,TJZ-422,S
293,D,2006,9/06/2023,18/04/2024,714,18,C,PF3-922,F
294,C,2016,20/07/2023,30/03/2023,1840,1,R,B2S-741,D
295,D,2020,31/07/2023,20/10/2023,671,16,R,2I5-598,S
296,N,2012,29/06/2023,16/02/2023,1862,4,C,7AQ-578,C
297,C,2014,19/05/2023,6/01/2023,566,4,C,N9W-668,F
298,D,2007,4/06/2023,18/02/2023,595,11,C,GA6-470,F
299,D,2006,29/07/2022,19/05/2022,758,15,C,ZI7-989,C
300,D,2013,17/10/2023,10/03/2023,1729,1,R,FU6-688,D
301,D,2011,30/09/2023,7/04/2023,793,12,C,3JT-158,E
302,D,2007,14/05/2024,1/10/2022,534,12,R,L1G-242,E
303,D,2017,8/04/2023,25/03/2024,1872,8,C,Z1G-160,S
304,D,2017,2/04/2022,10/07/2022,1841,13,C,CS2-929,F
305,D,2018,14/02/2022,7/03/2022,1036,20,R,8HV-373,D
306,N,2013,11/12/2023,6/11/2022,1938,2,R,1UR-892,S
307,C,2018,17/05/2022,13/12/2022,1067,11,C,X4Z-045,C
308,D,2017,4/06/2023,3/10/2022,1628,17,P,CIJ-020,F
309,D,2012,9/04/2023,21/06/2023,539,1,R,9S0-360,F
310,D,2005,11/07/2023,14/07/2023,1869,15,R,T6H-885,C
311,C,2009,5/05/2023,25/08/2023,970,3,P,H3S-513,D
312,D,2020,6/04/2022,4/03/2024,734,1,C,9I6-937,E
313,D,0,30/08/2022,13/05/2024,1842,3,C,IRJ-880,E
314,C,2002,28/07/2022,26/03/2022,1923,16,R,KAD-769,S
315,D,2013,24/11/2023,22/09/2023,1099,17,C,S0J-615,F
316,D,2005,13/06/2024,30/05/2022,1610,13,R,E4B-514,D
317,C,2008,21/04/2024,29/10/2022,1686,19,C,JPC-547,S
318,C,2004,27/12/2022,18/08/2022,1955,7,R,4NM-003,C
319,N,2018,11/01/2024,20/01/2023,881,19,R,LFI-806,F
320,D,2013,15/09/2022,2/07/2022,518,1,C,HXC-167,F
321,D,2018,13/04/2023,22/12/2023,1276,5,C,BYD-369,C
322,D,2020,23/03/2023,24/01/2024,1977,16,C,41Y-279,D
323,D,2005,29/03/2022,23/10/2022,1928,15,R,H9B-753,E
324,C,2013,9/11/2023,9/10/2023,874,17,R,9EK-985,E
325,C,2013,16/04/2024,6/04/2024,1338,11,C,MIT-916,S
326,D,2009,10/12/2023,27/02/2022,1857,16,C,Z3K-756,F
327,C,2011,2/02/2024,7/03/2022,1273,3,P,PQ1-870,D
328,N,2013,22/09/2022,2/05/2024,1902,1,R,E7W-976,S
329,D,2019,3/10/2022,10/03/2024,1039,20,R,FZL-546,C
330,D,2015,12/05/2022,17/09/2023,1113,1,C,N55-336,F
331,D,2010,9/01/2023,3/01/2024,1031,17,C,0HW-818,F
332,D,2008,29/01/2022,5/03/2022,1123,6,C,GLN-557,C
333,C,2010,30/04/2024,10/09/2023,1869,16,R,YYL-585,D
