cod_vehiculo,cod_vehiculo_estado,anio_fabricacion,fecha_ultimo_mantenimiento,fecha_ultimo_viaje,capacidad_carga,cod_vehiculo_marca,cod_vehiculo_tipo,placa,cod_vehiculo_modelo
334,D,2007,4/08/2022,24/01/2023,1076,10,C,E5Y-503,E
335,C,0,24/03/2022,14/10/2023,1530,10,C,P35-864,E
336,D,2019,30/04/2024,8/07/2023,834,10,C,9HG-238,S
337,C,2020,26/01/2024,16/03/2022,801,14,R,0LY-258,F
338,D,2014,19/12/2022,13/09/2022,567,2,C,W79-704,D
339,D,2008,18/07/2022,25/05/2024,1752,12,R,JXW-027,S
340,D,2005,2/06/2022,7/08/2023,1124,5,C,V0D-074,C
341,D,2017,10/04/2022,10/06/2023,1757,1,R,4V5-115,F
342,D,2014,24/02/2023,13/02/2023,1848,11,C,MO3-173,F
343,D,2016,19/05/2023,13/02/2024,1552,19,C,9Z4-010,C
344,D,2005,19/04/2023,22/05/2024,1241,1,C,M2C-109,D
345,C,2007,12/06/2024,4/03/2024,1828,16,R,72T-320,E
346,C,2018,5/01/2023,14/03/2022,691,3,R,U5E-970,E
347,N,2015,10/10/2023,27/06/2023,895,7,C,V3T-953,S
348,N,2015,1/02/2023,18/12/2022,1087,7,C,6LX-930,F
349,D,2006,15/04/2022,22/02/2022,1722,16,C,BJH-338,D
350,D,2020,12/05/2022,2/05/2023,1807,6,R,0GF-812,S
351,D,2013,30/03/2022,20/05/2024,1309,18,P,IER-988,C
352,D,0,19/03/2023,23/04/2023,985,1,R,P6P-882,F
353,D,2017,12/05/2023,26/04/2022,1014,4,R,YYQ-598,F
354,D,2005,21/09/2023,19/11/2022,1141,17,R,TIE-659,C
355,D,2011,8/09/2022,4/03/2024,653,10,R,FBL-538,D
356,C,2017,20/03/2024,28/08/2023,1536,15,P,VSP-242,E
357,D,2020,26/01/2024,13/02/2024,1959,5,R,9WC-344,E
358,C,2011,6/06/2024,4/07/2022,1617,13,C,UXH-693,S
359,D,2019,26/08/2023,8/09/2023,699,5,C,LUT-882,F
360,D,2011,14/11/2023,5/11/2023,979,3,R,DZF-888,D
361,D,2017,12/05/2024,15/04/2023,1547,15,C,Y5K-894,S
362,D,2017,21/04/2022,2/04/2022,1623,14,C,KAJ-793,C
363,C,2011,2/05/2023,19/11/2023,1173,16,C,IGL-936,F
364,D,2016,9/02/2022,20/09/2023,1755,14,R,MPT-869,F
365,N,2017,12/01/2024,15/10/2022,1134,7,R,XWJ-398,C
366,D,2005,19/03/2024,5/05/2024,1319,14,R,CAE-984,D
367,D,2008,10/05/2023,7/03/2023,728,5,C,MLL-693,E
368,C,2014,19/03/2023,6/08/2022,1198,5,C,P3Q-899,E
369,D,2009,23/02/2023,29/09/2022,776,9,R,NZC-997,S
370,D,2014,29/07/2023,5/09/2023,580,7,R,OA1-721,F
371,N,2019,27/05/2024,11/11/2023,507,8,R,XWT-723,D
372,D,2017,21/06/2022,30/10/2022,1980,15,C,HQ9-491,S
373,D,2017,12/09/2023,17/08/2023,1115,14,C,XVD-147,C
374,D,2019,22/03/2022,24/12/2023,1797,1,C,V3I-865,F
375,D,2019,3/05/2024,17/05/2023,1337,1,C,550-569,F
376,N,2008,1/07/2022,17/11/2022,1991,9,C,H7H-702,C
377,C,2004,20/11/2023,11/03/2022,792,18,R,CHO-780,D
378,C,2009,28/09/2023,3/10/2022,1060,16,R,ZPO-108,E
379,D,2010,27/01/2023,26/11/2023,1485,7,R,OF5-318,E
380,D,2005,29/10/2023,17/03/2022,1201,2,R,DNT-852,S
381,N,2003,14/01/2024,20/11/2023,1939,6,C,DYB-384,F
382,C,2011,23/09/2023,8/06/2024,1340,11,C,2HY-680,D
383,D,2013,23/04/2024,26/11/2022,883,6,R,VR9-339,S
384,D,2008,14/11/2023,8/05/2023,825,18,C,PD2-774,C
385,D,2013,15/10/2022,17/07/2023,1422,10,C,EEP-909,F
386,C,2015,17/01/2023,14/11/2023,1897,13,P,N06-581,F
387,D,2003,1/07/2023,29/12/2022,949,4,C,SQK-294,C
388,D,2018,26/06/2022,22/05/2024,872,15,C,Y1C-855,D
389,D,2020,15/02/2022,2/07/2022,1939,16,C,4KW-007,E
390,D,2003,18/08/2023,13/07/2023,1566,4,C,FFU-577,E
391,D,2008,9/07/2023,25/05/2022,632,18,P,D8I-281,S
392,D,2013,17/05/2022,4/03/2022,600,13,R,ASJ-972,F
393,C,2010,29/03/2023,15/08/2022,1309,16,P,URF-794,D
394,D,2014,22/10/2023,8/10/2022,575,15,C,NRW-490,S
395,D,2012,2/06/2024,21/06/2024,918,7,R,0PZ-840,C
396,D,2012,17/03/2024,6/07/2023,778,5,R,LNC-113,F
397,N,2003,10/04/2023,15/10/2022,884,4,R,6CF-280,F
398,D,2008,13/09/2022,12/03/2023,743,18,C,1H6-490,C
399,D,2004,8/02/2023,26/12/2022,1708,10,P,R9A-167,D
400,D,2010,10/06/2023,1/09/2022,1177,9,R,H8G-654,E
401,N,2006,5/04/2022,18/10/2023,952,13,C,SZJ-145,E
402,D,2011,3/11/2022,10/06/2024,1639,3,C,3SS-787,S
403,D,2013,6/10/2023,10/08/2022,1669,18,C,HQ1-025,F
404,D,2010,12/03/2024,26/08/2023,1749,8,R,5GF-807,D
405,C,2007,4/01/2022,14/03/2024,1158,7,R,6M3-153,S
406,C,2020,15/04/2024,4/02/2024,588,7,R,1JP-613,C
407,D,1997,29/12/2023,8/08/2022,724,7,P,XOC-839,F
408,C,2013,5/01/2022,15/02/2023,1677,2,C,CX9-793,F
409,D,2015,13/01/2022,11/10/2022,547,3,R,O3Y-025,C
410,D,2010,5/02/2024,13/04/2023,1177,1,R,LUJ-181,D
411,D,2013,3/04/2022,3/03/2024,1474,14,C,ZMV-322,E
412,C,2021,18/04/2023,10/05/2023,667,18,R,65L-826,E
413,N,2013,10/06/2024,8/05/2023,1371,1,C,QBC-130,S
414,N,2013,29/10/2023,13/05/2022,1678,10,R,K73-671,F
415,D,2015,23/01/2022,8/05/2023,1912,13,C,REG-106,D
416,D,2021,1/12/2023,31/05/2023,1843,18,C,IWI-418,S
417,D,2009,19/09/2023,1/04/2023,1373,19,C,WAL-750,C
418,C,2009,31/01/2024,12/03/2023,821,3,R,V4I-223,F
419,C,2002,19/02/2023,12/10/2023,509,10,R,S7K-410,F
420,D,2016,6/02/2024,15/06/2024,593,17,C,JPI-380,C
421,N,2020,5/06/2022,5/02/2022,1767,2,C,4B6-638,D
422,D,2016,3/06/2022,3/07/2022,1510,13,C,MLO-691,E
423,D,2009,8/12/2022,8/01/2023,1782,9,R,C7N-986,E
424,D,2010,16/03/2024,24/02/2022,1971,1,C,81F-042,S
425,D,2004,21/04/2023,14/09/2023,1051,10,C,21G-972,F
426,C,2019,20/03/2024,28/12/2023,1066,6,C,0ZI-824,D
427,C,2018,9/02/2023,18/12/2023,1142,4,C,08Z-576,S
428,D,2005,22/04/2024,7/10/2023,1709,8,R,C7V-961,C
429,N,2014,3/12/2022,27/02/2024,1505,12,C,KD0-410,F
430,C,2019,27/03/2022,15/05/2022,838,10,R,TY7-630,F
431,D,2015,19/01/2023,25/06/2023,1491,12,R,39W-401,C
432,C,2013,2/10/2022,23/12/2023,1527,6,C,1HP-297,D
433,D,2014,22/08/2022,25/09/2022,865,19,R,P1O-319,E
434,D,2008,3/01/2024,14/05/2022,1393,1,R,C6U-384,E
435,C,2010,2/07/2022,26/03/2022,508,18,C,D8B-602,S
436,C,2014,3/05/2023,4/05/2022,1207,14,R,ZGO-532,F
437,D,2012,18/09/2023,13/10/2022,1592,10,C,RFL-919,D
438,D,2013,28/03/2024,27/11/2022,534,14,R,AY0-688,S
439,D,2010,17/01/2024,13/06/2023,1148,20,C,1FT-781,C
440,D,2003,3/05/2023,20/03/2024,644,7,R,OU1-619,F
441,D,2017,16/10/2022,22/10/2022,1956,10,P,UBE-470,F
442,D,2012,15/11/2023,6/01/2023,775,11,C,5ZO-403,C
443,D,2015,31/10/2022,8/05/2023,1906,14,R,Q99-893,D
444,C,2008,1/01/2022,20/08/2022,1976,18,R,E7W-500,E
445,D,2021,8/08/2022,28/11/2023,1103,17,R,ZQK-457,E
446,D,2007,8/01/2023,20/03/2024,1013,13,R,QGB-253,S
447,D,2010,12/09/2022,6/03/2022,870,8,C,RZU-343,F
448,D,2018,10/05/2022,7/03/2024,1335,13,R,0IN-399,D
449,D,2006,18/05/2023,31/10/2023,1484,9,C,502-654,S
450,D,2016,17/05/2023,1/01/2023,1176,16,C,PYN-980,C
451,N,2013,8/12/2023,10/02/2024,1449,6,C,OBH-943,F
452,D,2000,10/12/2022,22/10/2023,1495,3,R,KCH-888,F
453,D,2016,2/05/2023,14/07/2023,698,3,C,AIQ-724,C
454,D,2011,16/06/2024,31/03/2022,1585,2,P,R4N-305,D
455,C,2011,28/09/2023,13/10/2022,1446,14,R,CR9-713,E
456,N,2012,21/06/2024,17/07/2023,1269,16,R,MGZ-449,E
457,D,2018,9/10/2023,4/05/2023,1411,6,C,U74-613,S
458,C,2018,24/03/2022,4/05/2022,1297,20,R,42Q-991,F
459,C,2011,1/07/2022,5/10/2023,1620,13,C,UNJ-077,D
460,D,2008,26/02/2022,22/09/2023,1798,4,R,7IC-389,S
461,C,2010,13/09/2023,5/01/2024,1742,4,C,UI2-622,C
462,D,2011,28/05/2023,22/12/2022,1217,11,R,BBF-020,F
463,C,2014,17/02/2022,16/06/2022,1894,3,R,Z1K-106,F
464,D,2001,22/01/2024,20/08/2023,529,12,R,SUO-980,C
465,C,2011,7/02/2023,22/09/2022,1725,15,R,PH0-604,D
466,D,2017,16/11/2023,5/03/2023,1844,13,C,55W-770,E
467,D,2015,11/03/2023,29/11/2022,913,13,P,8WQ-291,E
468,D,2015,16/11/2022,24/11/2023,508,16,R,2JF-549,S
469,D,2011,12/06/2023,1/11/2023,915,19,C,WIA-518,F
470,C,2007,29/03/2024,6/10/2022,938,7,R,7EB-146,D
471,D,2001,14/04/2022,1/04/2023,850,2,R,2NS-990,S
472,D,2015,31/12/2023,2/12/2023,1455,1,C,OHJ-534,C
473,D,1997,9/01/2024,10/04/2024,1648,12,C,26R-970,F
474,C,2006,19/12/2023,12/08/2022,583,11,C,IL4-412,F
475,C,2010,9/08/2022,3/12/2023,1652,19,C,U4O-959,C
476,D,2019,27/02/2023,5/02/2024,1407,19,C,UTI-370,D
477,D,2012,25/05/2022,1/06/2024,664,12,C,J1Y-242,E
478,D,2014,21/02/2024,29/06/2023,1319,12,C,GDL-376,E
479,D,2012,30/01/2022,24/02/2023,1375,13,C,BVD-580,S
480,C,2015,5/07/2023,27/01/2024,621,4,C,K3P-374,F
481,D,2016,8/12/2023,12/03/2023,1596,14,C,VB4-574,D
482,D,2010,1/05/2022,3/08/2023,553,11,C,IEJ-321,S
483,N,2010,11/10/2022,14/03/2022,1482,10,C,SPQ-974,C
484,D,2015,8/12/2023,18/05/2023,783,4,C,T1S-713,F
485,N,2004,31/01/2024,23/03/2023,1301,8,C,NK4-108,F
486,D,2014,6/03/2024,29/08/2022,586,9,R,HOG-349,C
487,C,2013,15/04/2022,16/03/2023,1218,9,C,RJB-890,D
488,D,2011,16/02/2022,28/02/2022,590,14,C,MJ5-738,E
489,D,2019,8/04/2022,3/05/2022,1221,13,C,IK7-086,E
490,D,2013,5/01/2022,18/05/2022,1485,15,R,F8I-634,S
491,N,2019,4/10/2023,16/01/2023,1987,9,R,L9C-502,F
492,C,2020,20/08/2022,25/04/2024,1663,8,R,MLL-854,D
493,N,2017,7/10/2022,18/02/2024,1313,18,R,S1F-085,S
494,D,2011,16/02/2023,18/02/2023,1864,9,R,30X-047,C
495,C,2003,27/10/2023,10/11/2022,1974,16,R,YMG-038,F
496,C,2017,21/08/2023,29/12/2023,565,14,R,YVM-077,F
497,D,2017,19/10/2023,28/07/2023,1917,12,R,TXD-685,C
498,C,2020,8/05/2022,18/10/2023,1109,11,P,50H-563,D
499,D,2018,27/02/2022,17/07/2022,552,17,R,YOW-707,E
500,D,2011,27/05/2022,13/09/2022,1005,15,R,HYY-283,E
501,N,2003,22/04/2024,6/05/2022,1560,9,P,5AD-888,S
502,D,2013,29/11/2023,12/12/2022,1655,13,R,24E-845,F
503,N,2014,20/07/2022,27/01/2024,1521,15,R,OHH-301,D
504,N,2020,2/05/2024,23/08/2022,1464,11,R,YVE-242,S
505,D,2015,10/02/2022,28/08/2023,532,20,C,H8G-409,C
506,D,2011,26/12/2023,9/07/2023,1019,20,R,3C4-993,F
507,C,2014,3/03/2024,14/12/2022,721,10,P,LIM-497,F
508,D,2006,9/08/2023,15/12/2022,1042,17,P,4J9-494,C
509,D,2008,13/08/2022,27/07/2022,1592,1,C,3QH-759,D
510,D,0,22/09/2022,25/03/2022,1752,18,C,9U7-909,E
511,D,2020,11/02/2022,12/05/2022,1726,7,R,3FO-558,E
512,N,2010,29/09/2023,13/02/2022,700,11,C,I59-563,S
513,D,2011,16/01/2023,12/08/2022,884,10,C,PO6-319,F
514,D,2018,14/08/2022,4/03/2022,1152,20,C,6YU-383,D
515,C,2010,28/01/2022,15/04/2024,1714,4,P,D5H-014,S
516,D,2015,28/10/2022,1/04/2023,1246,13,R,Q28-001,C
517,D,2016,15/02/2023,6/03/2023,1593,10,R,ITY-364,F
518,D,2016,8/10/2022,27/10/2023,970,19,R,0SL-100,F
519,D,2010,10/10/2022,5/04/2024,1692,11,R,9E9-863,C
520,C,2019,29/08/2022,7/10/2023,1687,18,C,Z2T-183,D
521,N,2016,11/01/2023,19/04/2023,1331,6,C,7QD-776,E
522,C,2016,9/09/2022,20/02/2022,809,9,R,MZC-221,E
523,D,2013,21/07/2023,3/06/2023,916,10,R,LP3-303,S
524,D,2015,10/12/2023,29/05/2024,1558,16,C,GOI-869,F
525,C,2004,9/04/2022,23/06/2022,1304,10,P,G9C-490,D
526,C,2016,4/04/2024,20/01/2024,1984,17,R,GKZ-180,S
527,N,2011,29/09/2022,17/11/2023,759,11,R,864-775,C
528,D,2014,1/03/2022,7/02/2022,1614,5,R,NBA-775,F
529,C,2001,7/09/2022,5/06/2024,1270,12,R,OZP-986,F
530,D,2015,4/05/2024,17/02/2024,966,4,C,LBL-795,C
531,N,2020,25/05/2023,14/03/2024,1983,3,R,W3P-377,D
532,C,2018,9/01/2024,11/09/2023,775,17,C,XHP-526,E
533,D,2014,30/01/2022,19/05/2023,1056,6,C,GYQ-737,E
534,D,2011,23/07/2022,21/12/2023,1342,18,C,JP2-394,S
535,D,2019,5/05/2024,4/08/2022,1877,9,C,WOK-802,F
536,D,2010,10/05/2022,13/03/2024,1177,10,C,163-485,D
537,D,2016,31/07/2022,7/02/2022,749,10,P,S4C-996,S
538,C,2013,22/11/2023,31/07/2023,1241,19,R,JN9-888,C
539,D,2020,7/08/2023,15/05/2024,1181,11,C,4P6-699,F
540,D,2009,13/12/2022,6/02/2024,1540,17,R,SOR-089,F
541,D,2009,17/11/2022,26/02/2022,1469,16,C,IFU-741,C
542,D,2020,14/09/2022,23/05/2023,518,7,R,KCI-940,D
543,C,2013,30/09/2022,5/08/2023,606,5,C,E6Z-617,E
544,D,2005,9/01/2024,10/02/2024,1428,11,C,ZZC-939,E
545,N,2015,9/12/2022,25/02/2023,1330,2,R,3DX-160,S
546,C,2002,12/03/2024,3/11/2022,644,11,R,PSD-512,F
547,N,2020,18/01/2022,20/10/2022,898,2,C,TNR-194,D
548,D,2017,10/07/2023,10/02/2023,1787,16,R,AOD-824,S
549,D,2020,28/11/2022,6/07/2023,1092,9,C,2V6-245,C
550,D,2020,11/01/2024,17/09/2023,814,12,P,8GS-355,F
551,C,2012,9/04/2023,7/11/2023,1604,3,R,XHP-264,F
552,N,2019,17/05/2024,22/03/2023,1717,19,C,6TI-352,C
553,D,2010,11/04/2022,15/02/2022,1692,17,R,UIX-151,D
554,D,2017,21/04/2024,19/09/2023,1095,17,P,FFJ-935,E
555,C,2014,26/04/2024,15/02/2022,1860,9,R,MIH-100,E
556,D,2014,10/08/2022,27/11/2022,528,1,R,HS6-222,S
557,C,2004,5/02/2022,23/05/2023,1661,4,R,3AI-834,F
558,C,2020,17/07/2023,30/01/2024,1088,4,R,JBZ-256,D
559,C,2017,26/03/2023,19/03/2023,1121,15,R,0GW-229,S
560,C,2019,29/06/2023,10/03/2022,1068,20,R,V58-828,C
561,D,2017,19/05/2023,12/05/2024,1829,10,P,GY5-595,F
562,C,2001,4/06/2024,25/10/2022,580,18,R,FRX-979,F
563,C,2002,28/11/2023,30/01/2023,1588,8,R,HJ2-249,C
564,D,2017,22/04/2022,16/02/2024,775,12,R,CN2-206,D
565,D,2017,27/03/2024,2/08/2023,1951,2,C,J0D-988,E
566,N,2012,5/01/2022,25/11/2022,1344,6,R,RGF-449,E
567,N,2010,16/01/2023,21/12/2022,509,14,R,RS5-528,S
568,D,2014,17/09/2022,8/02/2024,1922,7,R,5IQ-903,F
569,D,2012,11/10/2022,15/08/2023,1478,19,C,8JG-134,D
570,D,2020,25/09/2023,30/05/2023,1432,18,R,URS-833,S
571,N,2019,26/05/2024,29/08/2022,1680,11,R,IQA-403,C
572,D,2016,4/08/2023,5/01/2023,711,7,C,M4M-416,F
573,D,2007,25/04/2024,14/03/2024,1305,2,C,KLP-348,F
574,D,2016,20/01/2022,21/07/2023,1199,7,R,9DS-346,C
575,D,2020,24/12/2022,24/03/2023,1711,13,C,A89-386,D
576,C,2020,20/04/2023,27/03/2023,1668,16,C,0LJ-308,E
577,D,2019,5/02/2022,3/03/2024,1430,4,C,BS4-401,E
578,D,2008,6/06/2022,20/02/2022,1526,19,C,BJL-372,S
579,D,2014,1/03/2024,26/07/2023,999,18,R,Q4Z-847,F
580,D,2017,5/08/2022,31/03/2022,848,4,C,UI1-485,D
581,C,2007,10/01/2024,7/04/2024,503,7,C,YOK-058,S
582,C,2017,29/05/2022,26/02/2024,1154,14,R,WAI-987,C
583,C,2015,8/03/2024,7/12/2022,1203,7,C,GSO-891,F
584,N,2004,1/01/2023,11/04/2022,1684,4,C,11C-119,F
585,N,2010,10/11/2023,3/03/2022,1513,10,C,S2P-178,C
586,D,2012,22/05/2023,27/06/2023,1408,17,P,B6A-471,D
587,C,2009,12/03/2022,17/06/2024,633,17,R,Y0T-142,E
588,D,2013,21/11/2023,24/03/2024,1891,11,R,5ME-500,E
589,D,2006,4/02/2022,12/11/2022,1151,15,C,T0I-437,S
590,C,2005,23/02/2024,30/08/2023,715,6,P,N1L-071,F
591,D,2013,24/02/2023,12/04/2024,1366,1,C,3U9-504,D
592,C,2004,16/08/2022,5/02/2023,1803,18,R,BUG-343,S
593,D,2015,13/08/2023,11/04/2023,655,5,R,BSP-277,C
594,D,1999,7/01/2024,21/03/2024,570,7,P,8KE-515,F
595,D,2016,10/04/2023,15/10/2023,1795,18,C,TLT-447,F
596,D,2019,19/06/2023,18/12/2022,1141,10,R,WD6-834,C
597,D,2005,31/01/2024,19/04/2023,1088,1,C,X75-816,D
598,D,2019,20/01/2024,28/12/2022,1170,14,C,A3S-958,E
599,N,2007,22/10/2023,5/08/2022,1960,10,C,NBT-409,E
600,D,2014,23/02/2022,6/09/2022,1748,3,C,IVT-818,S
601,C,2015,13/09/2022,13/01/2024,967,20,C,PMC-305,F
602,N,2020,16/12/2023,19/02/2022,1653,14,C,IXI-386,D
603,N,2011,16/11/2023,10/01/2024,611,4,R,HMJ-683,S
604,D,2008,26/12/2022,6/02/2023,726,7,C,IBG-086,C
605,C,2003,19/02/2022,25/08/2023,1532,8,R,YJ0-109,F
606,D,2020,31/03/2024,6/06/2024,1470,5,R,VU2-537,F
607,C,2012,26/02/2024,24/10/2022,1871,7,C,NYE-834,C
608,N,2019,30/03/2024,10/08/2022,1789,4,C,0QX-859,D
609,D,2014,25/02/2023,19/07/2023,1512,1,R,GE1-466,E
610,D,2011,11/10/2023,28/12/2022,1274,6,C,B4E-016,E
611,C,2016,25/04/2022,29/02/2024,1766,15,C,DB9-873,S
612,D,2014,9/03/2023,22/05/2024,1891,18,R,N5U-733,F
613,C,2016,14/07/2022,11/03/2023,876,17,R,VGB-601,D
614,D,2006,16/09/2023,31/12/2022,1546,11,C,TL5-076,S
615,C,2015,4/07/2023,2/10/2023,1795,8,C,PUO-781,C
616,D,2018,28/03/2024,26/05/2022,532,8,C,EGE-835,F
617,D,2010,5/08/2022,22/02/2024,1314,11,C,TPT-743,F
618,D,2013,4/01/2022,14/08/2023,1187,3,C,H9G-811,C
619,N,2011,24/11/2022,18/11/2023,880,17,R,9UO-106,D
620,D,2016,27/04/2022,14/09/2022,1782,20,R,2LL-164,E
621,D,2009,13/04/2023,3/04/2024,884,7,R,XAI-993,E
622,D,2016,17/10/2022,7/02/2022,1301,12,C,FD7-514,S
623,D,2005,26/07/2023,20/12/2023,939,10,C,SAC-651,F
624,D,2009,9/10/2022,5/08/2023,759,19,R,ZJQ-603,D
625,C,2019,4/03/2024,19/10/2022,684,1,P,T8Z-896,S
626,D,2005,19/04/2024,24/07/2022,795,4,C,OVA-181,C
627,D,2010,17/12/2023,18/03/2024,1285,2,R,RWG-430,F
628,C,2014,30/07/2023,24/02/2022,1583,2,R,QGB-007,F
629,D,2006,26/08/2023,20/01/2023,1187,7,R,CVV-935,C
630,D,2020,4/05/2022,14/11/2023,687,15,R,QHM-806,D
631,D,2012,31/10/2023,20/03/2023,1028,11,R,2CR-556,E
632,C,2004,12/02/2023,11/02/2022,1295,7,C,NQT-687,E
633,C,2018,14/05/2024,28/04/2024,540,4,R,8LF-538,S
634,C,2020,21/08/2022,9/11/2022,1034,10,P,D9S-978,F
635,D,2015,12/03/2023,19/09/2022,1330,1,C,8DA-635,D
636,C,2014,12/03/2022,10/10/2022,635,5,R,GVL-364,S
637,D,2004,6/09/2023,8/06/2023,1041,2,C,J3N-470,C
638,D,1996,29/07/2023,3/11/2023,900,15,R,44Y-204,F
639,D,2020,1/05/2024,25/06/2023,1684,4,R,GTF-778,F
640,N,2012,19/04/2023,14/03/2023,1215,2,C,YCO-565,C
641,C,2016,21/04/2024,7/06/2024,868,12,C,W6W-709,D
642,N,2016,5/03/2022,29/04/2023,858,11,R,DWP-237,E
643,D,2011,28/10/2023,2/03/2022,947,18,C,NK3-820,E
644,D,2015,26/12/2023,26/08/2022,1380,1,C,OJZ-223,S
645,D,2007,23/06/2022,26/09/2023,1949,6,C,TCP-701,F
646,D,2010,22/01/2022,22/07/2022,1635,2,R,Q52-659,D
647,D,2010,15/03/2024,4/06/2023,1980,3,R,OOW-045,S
648,C,2008,13/03/2023,23/12/2022,1902,17,R,G8A-543,C
649,D,2014,24/08/2023,2/03/2024,760,14,R,HLQ-971,F
650,D,2008,6/11/2023,20/05/2023,1896,4,C,NDR-277,F
651,N,2011,2/08/2022,8/05/2024,882,8,R,3N8-490,C
652,C,2013,12/09/2023,17/06/2024,1235,13,R,CFQ-745,D
653,C,2019,24/01/2024,27/07/2022,1539,15,C,PYS-028,E
654,C,2010,12/09/2022,23/11/2023,1608,6,R,8EF-167,E
655,D,2008,13/04/2022,21/05/2024,742,7,R,15J-622,S
656,N,2008,11/11/2023,12/05/2023,1899,19,C,ANA-181,F
657,D,2005,19/04/2022,11/05/2022,1860,17,R,YS1-999,D
658,D,2009,18/01/2022,21/04/2023,682,5,C,6AI-183,S
659,N,2019,12/11/2023,16/02/2024,1624,16,R,NZN-839,C
660,C,2016,31/08/2022,8/05/2022,513,2,C,ZRM-126,F
661,D,2015,1/09/2022,16/05/2024,1977,19,C,IVZ-939,F
662,C,2014,23/05/2024,10/09/2023,1667,5,R,14Q-332,C
663,C,2009,11/04/2023,22/04/2022,591,10,R,4EY-224,D
664,C,2010,28/05/2023,13/03/2024,1588,5,R,P4P-663,E
665,C,2008,10/02/2022,5/07/2022,828,19,R,RGO-400,E
666,D,2012,23/07/2022,2/04/2024,1876,3,R,VEH-700,S
